Help #,Help Name,
279,"1Doorgaan? Beurs is geslo S2",
280,"1Melding: Beurs is byna g S3",
281,"2Doorgaan? Beurs is geslo S4",
282,"3Doorgaan? Beurs is geslo S5",
283,"Niet obli. direct S1",
284,"Niet obli. Aut/Hand S2",
285,"Obli's direct S3",
286,"Obli's Aut / Hand S4",
287,"OA/DD-Fintegrator details",
288,"SingleOrderNew (MsgType 1 S1",
289,"Meer info S2",
290,"SingleOrderCancReq (MsgTy S3",
291,"ExecutionReport (MsgType S4",
292,"Meer info S5",
293,"Nog Meer info S6",
294,"OrderCancelReject (MsgTyp S7",
295,"BusinessMsgReject (MsgTyp S8",
296,"OrdCancelReplReq (MsgType S9",
297,"Meer info S10",
298,"CombiOrderNew (MsgType 9) S11",
299,"Meer info S12",
300,"CombiCancelRequest (MsgTy S13",
301,"Meer info S14",
302,"CombiCancelReject (MsgTyp S15",
303,"CombiExecReport (MsgType S16",
304,"Meer info S17",
305,"CombCancelReplReq(MsgType S18",
306,"Meer info S19",
307,"TCS Declaration (MsgType S20",
308,"TCS Canc. Req (MsgType 21 S21",
309,"TCS Rejec notice (MsgType S22",
310,"OA/DD-Fintegrator bericht",
311,"Foutomschrijvingen S1",
312,"SUB-SelectieRelaties",
313,"RAPS-Positie overz. comme",
314,"MAIL-Inhoud S3",
315,"WIN-Arrangement provisies",
316,"WIN-Ratings",
317,"WIN-Index per fonds",
318,"WIN-Branches",
319,"WIN-Branchegroep",
320,"WIN-Modelportefeuilles",
321,"WIN-Beleggingsprofielen",
322,"Koers Identificaties S1",
323,"WIN Error/Warning",
324,"WIN-Verzamelrelaties",
325,"Online Login S1",
326,"TestPurposeOnly S3",
327,"Disp Geldrekeningen S1",
328,"Display transacties S2",
329,"Disp Geblokkeerd geld S3",
330,"Disp Geldbatch S5",
331,"Disp Lopende orders S6",
332,"Disp Dekkingswaarde Port S7",
333,"Niet doorgeboekte transac S8",
334,"Geblokkeerde stukken S9",
335,"Disp Baisseposities S10",
336,"Disp Margin gegevens S11",
337,"Disp Obligo S14",
338,"Closing resultaat S15",
339,"Closing resultaat Prod S16",
340,"Disp Futures S17",
341,"Closing resultaat S18",
342,"Bijstelling S19",
343,"Disp Garanties Ontvangen S20",
344,"Browse - FIATTERING_LOG",
345,"Browse - WERKBESTAND",
346,"Browse - GELD_WERKBESTAND",
347,"Browse - POSITIE_WERKBEST",
348,"Browse - KOSTEN_WERKBESTA",
349,"Browse - TEMP_MARGIN_WB_S",
350,"Browse - TEMP_AP_WERKBEST",
351,"Browse - RELATIE_FIATTERI",
352,"Browse - FIATTERING_BEDRA",
353,"Browse - TE_DOORLOPEN_REK",
354,"Display hoofdlijnen S12",
355,"Display detail gegevens S13",
356,"Enkl. Display lopende ord S15",
357,"Comb. Display lopende ord S16",
358,"Enkl gemuteerde ordergeg S18",
359,"Comb. Display lopende ord S19",
360,"Browse - TABELGEGEVENS",
361,"BrowseS - BELEGGINGSINSTR",
362,"BrowseS - BEL.INSTR Deel S1",
363,"BrowseS - CLIENTEN",
364,"BrowseS - CLIENTEN - Deel S1",
365,"BrowseS - REKENINGEN",
366,"Browse - MUNTSOORTEN",
367,"BrowseS - TRANSAKTIES",
368,"BrowseS - TRANSAKTIES - D S1",
369,"BrowseS - KOERSEN",
370,"Browse - RENTESCHEMAS",
371,"Browse - SCHEMAS",
372,"BrowseS - AKTUELE_POSITIE",
373,"Browse - KOERSKODES",
374,"Browse - TABELLEN_UITGEBR",
375,"Browse - WEGINGSFACTOREN",
376,"BrowseS - OPENSTAANDE_POS",
377,"Browse - BELEGGINGSADVISE",
378,"Browse - RENTE_AFSPRAKEN",
379,"Browse - DEPOT_BELEG_INST",
380,"Browse - TABELGEG_VERTAAL",
381,"Browse - RELATIECATEGORIE",
382,"Browse - DEPOT_RELATIE",
383,"Browse - TRANS_OMSCHRIJVI",
384,"Browse - ADVISEUR_DISTR_K",
385,"Browse - GROOTBOEKREKENIN",
386,"Browse - WERKBESTAND",
387,"Browse - PROVTABHEADER",
388,"Browse - SCHALEN_TABEL",
389,"Browse - PRINTERS_ADVISEU",
390,"Browse - PRINTERS",
391,"Browse - TRANSACTIESOORTE",
392,"Browse - RETENTIETABEL",
393,"Browse - SPREIDING",
394,"Browse - AFDELINGEN",
395,"Browse - DNB_SECTOREN",
396,"Browse - RENDEMENTSBEREKE",
397,"Browse - WORKFILE_VERM_AN",
398,"Browse - RISICOGRAAD",
399,"Browse - HISTORIE_ADVISEU",
400,"Browse - MUTATIEKODES",
401,"Browse - LANDEN",
402,"Browse - UITGEVENDE_INSTE",
403,"Browse - CL_PROF_INSTELL",
404,"Browse - AG_NAWGEGEVENS",
405,"Browse - VERWIJD_REKENING",
406,"Browse - VERWIJD_FONDSEN",
407,"BrowseS - POSITIEMUTATIES",
408,"Browse - VERWIJD_RELATIES",
409,"Browse - MARGIN_WERKBESTA",
410,"Browse - MARGIN_WB_SESSIE",
411,"Browse - AP_WERKBEST_SESS",
412,"BrowseS - RENTE_RENSEIGNE",
413,"Browse - RENTEBASISPERCEN",
414,"Browse - KOPPELTABEL_CROS",
415,"BrowseS - NOTA_MAILBOX",
416,"Browse - IPL_INSTRUCTIEPE",
417,"Browse - EMISSIETYPES",
418,"Browse - TYPE_BELEGG_INST",
419,"Browse - REKENING_SOORTEN",
420,"Browse - BEWAARLOON",
421,"Browse - INSTRUKTIECODES",
422,"BrowseS - BEREKENDE_BEWAA",
423,"Browse - ITEMKODES",
424,"Browse - NACHTPROC_DEFINI",
425,"Browse - KALENDER",
426,"Browse - EMISSIES",
427,"Browse - LEVERINGSINSTRUC",
428,"Browse - WAARDESTAAT_TEKS",
429,"Browse - DEELTRANSACTIES",
430,"Browse - COURTAGE_HEADER",
431,"Browse - SESSION_INFO",
432,"Browse - LICENTIE_GEBRUIK",
433,"Browse - COMPONENTFORMULE",
434,"Browse - STUKSOORTEN",
435,"Browse - LEVINSTRKOOP_VER",
436,"Browse - PRINTER_QUEUE",
437,"Browse - KOPP_FORM_TEKST",
438,"Browse - SELEKTIE_GTS",
439,"Browse - POSITIES_GTS",
440,"Browse - VERZEND_CLIENTEN",
441,"Browse - KOPP_VERZENDPOST",
442,"Browse - SCHADUWOPENSTPOS",
443,"Browse - SERVICEPRF_CLIEN",
444,"Browse - CONCEPT_POSITIES",
445,"Browse - BATCHES_GROOTBOE",
446,"Browse - DAGAFFREQUENTIE",
447,"Browse - JP_PER_TRANS_EN_",
448,"Browse - CLIENTPROVKORTIN",
449,"Browse - LAYOUT_CORR_TEKS",
450,"Browse - CORRESPONDENTIET",
451,"Browse - BANKTABEL",
452,"Browse - INSTELLINGEN",
453,"Browse - PRINTGROEPEN",
454,"Browse - FORMULIER_TEMPLA",
455,"Browse - SIGNALERING_OB",
456,"Browse - AUTOM_OPN_VERSTU",
457,"Browse - FONDSEN_EX_DIVID",
458,"Browse - INFORMATIE_SOORT",
459,"Browse - BEURSTIJDENPERBE",
460,"Browse - MATCHRUN_CUSTODI",
