Program ISN,Program #,Task,Name,Expr #,Expression
251,,".1.3","SetVerwerkVerwijderSelectie",33,"CndRange(v_Invoer_Adviseur_T/m<>Fill('Z',Len(v_Invoer_Adviseur_T/m)),v_Invoer_Adviseur_T/m)"
251,,".1.3","SetVerwerkVerwijderSelectie",7,"CndRange(v_EtE_Referentie_T/m<>Fill('Z',Len(v_EtE_Referentie_T/m)),v_EtE_Referentie_T/m)"
251,,".1.3","SetVerwerkVerwijderSelectie",9,"CndRange(v_D_BIC_T/m<>Fill('Z',Len(v_D_BIC_T/m)),v_D_BIC_T/m)"
252,,"","BAT-Verwerk Bericht(en)",12,"Fill('Z',Len(pi-_D_IBAN_T/m))"
252,,"","BAT-Verwerk Bericht(en)",16,"Fill('Z',Len(pi-_D_Muntsoort_T/m))"
252,,"","BAT-Verwerk Bericht(en)",18,"Fill('Z',Len(pi-_C_Bank_BIC_T/m))"
252,,"","BAT-Verwerk Bericht(en)",20,"Fill('Z',Len(pi-_C_IBAN_T/m))"
252,,"","BAT-Verwerk Bericht(en)",23,"Fill('Z',Len(pi-_C_Muntsoort_T/m))"
252,,"","BAT-Verwerk Bericht(en)",27,"Fill('Z',Len(pi-_TransactionId_T/m))"
252,,"","BAT-Verwerk Bericht(en)",29,"Fill('Z',Len(pi-_Invoer_Adviseur_T/m))"
252,,"","BAT-Verwerk Bericht(en)",32,"Fill('Z',Len(pi-_EtE_Referentie_T/m))"
252,,"","BAT-Verwerk Bericht(en)",34,"Fill('Z',Len(pi-_D_BIC_T/m))"
225,,".1","Initieren",15,"IF (ExpCalc ('14'EXP)='0','0',Str (Len (ExpCalc ('14'EXP)),'1'))"
269,,".1.1.1","SUB-Eerstvolgende betaling",3,"Val (Flip (MID (Trim (Flip (BBF)),2,Len (BBF))),'4')"
269,,".1.1.1","SUB-Eerstvolgende betaling",2,"Flip (MID (Trim (Flip (BBF)),2,Len (BBF)))"
270,,"","INV-Output fiscale controles",8,"IF (v_Rekening vanaf<>'',v_Rekening vanaf,Fill ('Z',Len (v_Rekening t/m)))"
271,,"","INV-Herberekenen Jaartotalen",19,"IF (v_Relatie_vanaf=v_Relatie_t/m,BBV,Fill ('Z',Len (v_Rekeningnr t/m)))"
271,,"","INV-Herberekenen Jaartotalen",23,"IF (v_Relatie_vanaf=v_Relatie_t/m,IF (v_Rekeningnr t/m<>BBE,RE_MUNTSOORT_Zoek_t/m,BBF),Fill ('Z',Len (v_Rekening munt t/m)))"
273,,".1.2","Invoer Selectie",10,"IF(ISNULL(v_MandaatRef VanafScherm) OR v_MandaatRef VanafScherm='',Fill('z',Len(v_MandaatRef TmScherm)), IF(v_Mandaat_Vanaf<>v_MandaatRef VanafScherm,v_MandaatRef VanafScherm,v_Mandaat_Tm))"
273,,".1.2","Invoer Selectie",7,"IF(ISNULL(v_CreditorID vanafScherm) OR v_CreditorID vanafScherm='',Fill('z',Len(v_CreditorID t/mScherm)), IF(v_CreditorID_Vanaf<>v_CreditorID vanafScherm,v_CreditorID vanafScherm,v_CreditorID_Tm))"
399,,"","RAPP- Koppel JCMT MUNT",5,"Fill ('z',Len (v_Muntsrt t/m))"
